"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007"
"22" 36171.5 36901 37628 37960 38352 39069 39361.5 39522 39383 38777 38947.5 40250 41665.5 43391 45917 48073 48933.5 49310.5 50783 51959 50958.5 49114 48198 47675 47490.5 47249 46206.5 45774 45690.5 46219.5 46668.5 47176.5 48158.5 48910.5 49796 51173.5 52578 52655 52152 51441 50712.5 50106 48825 47803.5 46561.5 44625.5 43104.5 41748.75 40827.75 40700 40557.5 41095.5 42464 43187 43731 43816.5 43566 44201.5
"23" 36377.5 36748.5 37756.5 38697 39274 39869 40675.5 40946 41015 40791.5 39568.5 39545.5 41226.5 42622.5 44057.5 45986 48062.5 49375 50208 51836.5 51857 50615 49966 49291.5 48406 47504.5 46801 45977.5 45867.5 45955 46582 47211 47879.5 48689.5 49288 50220 51703 53279 53435.5 52883 52679.5 52310 51388.5 49884.5 48713.5 47398.5 45272.5 43591.75 42234.25 41479 41492.5 41531 42241.5 43563.5 44254.5 44655.5 44627.5 44651
"24" 36883.5 36817.5 37338 38589 39891 40681 41250.5 41914 42196.5 42355.5 40908 39468 40352 41934.5 43152.5 44215 46046 48492 50137.5 51089.5 51695 51436.5 51305.5 50937.5 50010.5 48390.5 47010 46541 45994.5 46028.5 46265 47047.5 47802 48400 49125 49774 50799.5 52416 54033 54204 54292.5 54279.5 53414 52418.5 50914 49629 48006 45751.25 44116.75 42889 42379.5 42611.5 42741.5 43581.5 44900 45231.5 45434.5 45726.5
"25" 36805.5 37247 37223.5 37578 38194.5 38465 38309.5 38279 38584 38417.5 39018 39993.5 40205.5 40988 42342 43271 44341 46451 49040.5 50922 51066 51279.5 51906 52024.5 51536.5 49989 47832.5 46686.5 46553.5 46166.5 46377 46809 47679.5 48303 48822.5 49606.5 50409.5 51629.5 53270.5 54852 55764 56110 55561.5 54627.5 53605.5 52003 50448 48589.75 46300.75 44852.5 43869 43475 43811 44232 44967 45883.5 46188.5 46729
"26" 36775 37063.5 37416 37257.5 37504.5 38172 38629 38642.5 38672.5 39035 39298.5 39937.5 40591.5 40749.5 41326 42429 43402 44773 46967.5 49716 50922.5 50677.5 51580 52373.5 52451.5 51339.5 49255.5 47454 46684 46643.5 46409.5 46862 47393.5 48182 48746 49308.5 50204 51116.5 52408 54130 56598 57806 57472 56751 55716.5 54648.5 52778 50954 49116.5 47035 45790.5 45017.5 44775 45193.5 45522.5 46051 46931.5 47543
"27" 36564 36939.5 37084 37330.5 37116 37417.5 38224.5 38797.5 38913.5 39074 39325 39633.5 40451.5 41030 41040 41397 42516.5 43796 45289 47601.5 49745 50582 50881 51861 52651.5 52180 50532.5 48823 47402 46765.5 46874.5 46849.5 47421 47885 48613.5 49223.5 49938 50955.5 51905 53235.5 55986 58686.5 59022 58566.5 57785 56703 55414 53318 51475.5 49786 47933.5 47003 46367.5 46254.5 46665 46612 47052 48332
"28" 36856 36659.5 36848.5 36895 37130 36986 37391 38257.5 38973 39271 39031.5 39333 40108 40826 41267 41105.5 41455 42814.5 44244 45924.5 47745 49454.5 50640.5 51003 52004 52317.5 51287 49937.5 48704 47489.5 46933.5 47147.5 47236 47813 48207 48978 49762 50637 51753.5 52738 55018.5 57948 59787 59997.5 59482.5 58611 57315 55887.25 53831.25 52133.5 50646 49046 48199.5 47618.5 47424 47585.5 47656.5 48475.5
"29" 37099.5 36890.5 36478 36589 36655 36959.5 36896 37323.5 38357 39302.5 39198.5 39012 39781.5 40458.5 41036 41329 41167 41700 43163.5 44595 45941.5 47531.5 49415 50601.5 51007.5 51584.5 51355 50611.5 49709.5 48689.5 47637.5 47265 47582 47589 48072 48538.5 49413 50310.5 51288 52465 54534 56990 58944.5 60667 60819.5 60248.5 59189 57659.25 56278.25 54451 52970 51728.5 50258 49452 48809.5 48366 48492.5 48912.5
"30" 34325 37267 37168 37017 37350.5 37617 38109.5 38124.5 38506.5 39220.5 39380 39201.5 39427.5 40110.5 40644.5 41088 41401.5 41356 41941.5 43416 44523 45688.5 47462 49300 50539 50599 50645 50681 50383 49670.5 48851 47941 47557 47812.5 47810 48359.5 48903.5 49866 50860.5 51903 54142.5 56377.5 57861.5 59752 61395.5 61430 60718 59492.75 57944.25 56710 55105.5 53870 52751 51296 50413.5 49566 49150 49655.5
"31" 31494 34408 37300 37109.5 36874.5 37229.5 37521.5 37946.5 37854 38169 38557.5 39117 39604 39733.5 40287 40685.5 41137.5 41567 41575 42142.5 43374.5 44317.5 45588.5 47327 49198 50104 49718 49988.5 50403.5 50341.5 49805 49037 48154 47771 47964 48024 48673 49269 50305 51355.5 53170.5 55585 57097 58540.5 60434 61927.5 61753 60873.25 59687.25 58342 57203.5 55788 54838.5 53688.5 52052.5 51085.5 50327.5 50172
"32" 30836 31533.5 34385 37172.5 36916 36725.5 37091 37285.5 37619.5 37500 37805.5 38556.5 39474 39887.5 39896 40326.5 40722 41276.5 41759 41762 42138 43220.5 44173 45405.5 47224 48762 49320.5 49171.5 49737 50357 50414 49907.5 49165.5 48282.5 47860 48131 48281 49003 49695 50830.5 52309.5 54165 56164 57576.5 58963.5 60806 62220.5 61975 61050.5 60002 58792.5 57851 56645.5 55732 54490 52639.5 51639.5 51215.5
"33" 30894.5 30817.5 31457 34229.5 36955.5 36735.5 36533 36780.5 36909 37243 37296 37982 38892 39732.5 40045.5 39933 40357.5 40841 41437.5 41919 41793.5 42021 43086.5 43941.5 45227 46827.5 48009.5 48780 48913.5 49639 50389 50538 50046.5 49248.5 48355.5 47989 48302.5 48503.5 49333 50103 51716.5 53334.5 54728 56622.5 58002.5 59313 60988.5 62293.75 62138.25 61341 60452.5 59451 58622 57423 56334 54980.5 53179 52377.5
"34" 31700.5 30874 30690 31271.5 34003.5 36742.5 36495 36163 36361 36517.5 37426.5 37856.5 38313 39143.5 39873.5 40083 39970 40465.5 40979.5 41577.5 41981.5 41716.5 41881 42890 43771 44819 46099 47431.5 48529.5 48838.5 49648 50483.5 50639 50110.5 49265.5 48380.5 48099 48497.5 48783.5 49694 50935.5 52635 53802 55180 57012 58240.5 59431.5 61028.25 62371.25 62343 61724.5 60942.5 60070.5 59387 57990 56705 55401 53841
"35" 33839 31854.5 31329.5 31603 32652.5 35814.5 38748.5 38484 37968.5 38264.5 38301 38288.5 38165 38553.5 39277.5 39903 40114 40070.5 40590.5 41091 41615.5 41906 41578 41697 42755.5 43374.5 44093.5 45575.5 47200 48443 48825 49704 50583 50664.5 50092.5 49305.5 48497 48286 48761.5 49132 50188 51554.5 53098 54123 55462 57265 58403.5 59448 61042.5 62503.5 62640.5 62144 61448 60720.5 59984.5 58342.5 57054.5 55945.5
"36" 35726 33982.5 32120.5 31607.5 31806.5 32672.5 35626 38445.5 38121 37829.5 37972.5 38110 38586.5 38393 38684 39307 39935.5 40217.5 40183.5 40683.5 41106.5 41532.5 41796.5 41430.5 41584.5 42432.5 42688.5 43538.5 45347.5 47116 48455.5 48913.5 49745.5 50571.5 50675 50118.5 49395 48678 48534.5 49049 49607.5 50721.5 51891 53361 54326 55589 57305.5 58355.25 59402.25 61092 62688 63007.5 62690 62056 61174 60324 58683.5 57595.5
"37" 36394.5 35882 34269 32413 31821 31829.5 32499.5 35343.5 38079.5 37712 37475.5 37982.5 38402 38806.5 38514.5 38711 39333 40028.5 40330 40276.5 40709 41034 41442 41692.5 41331.5 41237 41791.5 42173.5 43244 45215 47062.5 48466 49001 49786 50568.5 50685 50169 49518.5 48876.5 48799 49473 50072 51047.5 52149 53537.5 54445 55636 57264 58281.5 59434 61250.5 63054.5 63523 63163 62501 61541 60636 59148
